"mss","mu0","phi0","ppEffCrit","ppFutCrit","pmp","n1_targ","n2_targ","futOnly","enrScale","numAlt","trr1","trr2","trr3","trr4","trr5","rr1","rr2","rr3","rr4","rr5","FWER","nerr","fut1","fut2","fut3","fut4","fut5","aveSS1","aveSS2","aveSS3","aveSS4","aveSS5","medSS1","medSS2","medSS3","medSS4","medSS5","minSS1","minSS2","minSS3","minSS4","minSS5","maxSS1","maxSS2","maxSS3","maxSS4","maxSS5","aveSSovr","PM1","PM2","PM3","PM4","PM5","SP1","SP2","SP3","SP4","SP5","PP1","PP2","PP3","PP4","PP5","BIAS1","BIAS2","BIAS3","BIAS4","BIAS5","MSE1","MSE2","MSE3","MSE4","MSE5","aveDur","esProb1","esProb2","nbCont1","nbCont2"
4,0.45,1,0.985,0.275,0,7,16,1,1,0,0.15,0.15,0.15,0.15,0.15,0.0064,0.00684,0.00644,0.00632,0.0068,0.02968,1.10512129380054,0.80836,0.80876,0.80324,0.808,0.81208,10.4346,10.45944,10.52936,10.45568,10.41284,8,8,8,8,8,4,4,4,4,4,38,40,38,39,38,52.29192,0.148270603453833,0.148406179821147,0.149172510821332,0.148776420807679,0.148492947522823,0.121655619889535,0.121717804757245,0.123328367900477,0.12227521055011,0.122048189806145,0.451725978929102,0.452167160019208,0.454844280064133,0.453072084760107,0.451826713566915,-0.00172939654616644,-0.00159382017885373,-0.000827489178667499,-0.00122357919232116,-0.00150705247717737,0.0036243516950239,0.00361437170560435,0.00365735251011683,0.00371923232864003,0.00367371900009885,7.74864008206904,0.49544,0.50456,0.95512,0.92676
4,0.45,1,0.985,0.275,0,7,16,1,1,1,0.45,0.15,0.15,0.15,0.15,0.70528,0.01312,0.01256,0.01328,0.01312,0.0486,1.07160493827161,0.1864,0.71468,0.70972,0.70936,0.71432,19.27752,11.98648,12.03112,12.01744,11.96988,22,9,9,9,9,4,4,4,4,4,45,40,42,44,41,67.28244,0.390018480174468,0.160586518097818,0.160712801330714,0.160997811007958,0.160035062349133,0.426504007786097,0.117273850627244,0.117409467236314,0.117704523404456,0.116306091828299,0.906100714241746,0.484088401901517,0.484532855857081,0.485220217607045,0.481885612861194,-0.0599815198255295,0.0105865180978176,0.010712801330714,0.0109978110079581,0.0100350623491334,0.0260178946784258,0.00473199763189498,0.00472299295131876,0.00477048689966266,0.00477431599474189,10.1237470894055,0.2012,0.7988,1.88984,1.20816
4,0.45,1,0.985,0.275,0,7,16,1,1,2,0.45,0.45,0.15,0.15,0.15,0.78716,0.79052,0.01836,0.01876,0.0192,0.05324,1.05785123966942,0.12216,0.11948,0.62968,0.62644,0.62556,20.68524,20.66244,13.30992,13.31964,13.40728,22,22,10,10,10,4,4,4,4,4,46,43,41,41,46,81.38452,0.412451159916457,0.412406802132817,0.168418056473529,0.168251796650579,0.16876545081587,0.432343215030955,0.432274054038288,0.114691375766093,0.114616764303083,0.115520196931237,0.935619041956258,0.937122072995381,0.501175200992902,0.501292831463372,0.503215027142388,-0.0375488400835425,-0.0375931978671826,0.0184180564735284,0.0182517966505787,0.0187654508158698,0.0181544831184821,0.0179625978414038,0.00567162528263651,0.0055307348035743,0.00558686953673342,10.9832926167633,0.09292,0.90708,2.77052,1.24268
4,0.45,1,0.985,0.275,0,7,16,1,1,3,0.45,0.45,0.45,0.15,0.15,0.83428,0.8312,0.83172,0.03104,0.02908,0.0554,1.08519855595668,0.08332,0.08564,0.08464,0.55116,0.546,21.3984,21.41464,21.48396,14.55764,14.61048,22,22,23,11,11,4,4,4,4,4,41,45,47,42,41,93.46512,0.424062383685973,0.423216598040324,0.424103385906428,0.176383787098557,0.17656817924398,0.435525840983025,0.434130248609957,0.435299952387805,0.1134872206175,0.11406825318995,0.951830177599426,0.950654231895205,0.951659560668753,0.519960089803344,0.521097858475155,-0.0259376163140265,-0.0267834019596745,-0.0258966140935729,0.0263837870985572,0.0265681792439798,0.0137113354303255,0.0138752492911311,0.0137961131907051,0.00697278350086571,0.00690295179492742,11.2561835527812,0.05684,0.94316,3.52448,1.09192
4,0.45,1,0.985,0.275,0,7,16,1,1,4,0.45,0.45,0.45,0.45,0.15,0.8672,0.87216,0.87068,0.87592,0.05828,0.05828,1,0.06004,0.05952,0.06208,0.0582,0.45204,21.76536,21.82348,21.7514,21.80036,15.9802,23,23,23,23,17,4,4,4,4,4,44,45,46,46,43,103.1208,0.433101077473698,0.433202302290838,0.432162939541172,0.43384278697871,0.196841022882314,0.438975439047114,0.438774443884386,0.437485017572357,0.439853273655213,0.117714911219949,0.963531441355402,0.963103941847703,0.961894950078095,0.963978485221974,0.566473954732785,-0.0168989225263018,-0.0167976977091597,-0.0178370604588277,-0.0161572130212904,0.0468410228823132,0.0108975985551283,0.010947357047241,0.011066140505713,0.0109093148946235,0.0105538112696896,11.3272184808725,0.04872,0.95128,4.13064,0.76388
4,0.45,1,0.985,0.275,0,7,16,1,1,5,0.45,0.45,0.45,0.45,0.45,0.91952,0.91816,0.91952,0.9176,0.9238,0,0,0.03784,0.03988,0.03924,0.04052,0.03628,20.98684,20.87688,20.98608,20.91476,20.95736,22,22,22,22,22,4,4,4,4,4,44,45,45,44,45,104.72192,0.450247211604168,0.44962839435781,0.450342763331951,0.44957918864958,0.451346645787378,0.448305617356354,0.446992451718448,0.448273125677906,0.446987180184569,0.4497945635356,0.976676383683158,0.975757265718677,0.976408234893744,0.975822116100079,0.977760891529565,0.000247211604170055,-0.000371605642189361,0.000342763331951909,-0.000420811350419298,0.00134664578737834,0.00863639122193289,0.0086640228918776,0.00860296420218459,0.0086642597766565,0.00849726544810751,10.7564652509801,0.11912,0.88088,4.22816,0.20764
4,0.45,1,0.985,0.275,0,7,16,1,1,3,0.05,0.15,0.25,0.35,0.45,8e-05,0.0214,0.19228,0.5152,0.78896,0.02148,1,0.89132,0.64704,0.41372,0.24288,0.13008,9.157,13.04188,16.60128,19.1472,20.65696,8,9,19,21,22,4,4,4,4,4,37,45,46,46,49,78.60432,0.120894353587427,0.16685461767483,0.237650210707967,0.317787053389939,0.397220733420896,0.0360789159713505,0.113720721487195,0.20885743272839,0.316997689647401,0.429787235661101,0.33493843249967,0.500126183273261,0.70121995707883,0.852161030943616,0.935171231316928,0.0708943535874269,0.0168546176748297,-0.0123497892920326,-0.0322129466100612,-0.0527792665791043,0.0077909323392808,0.00604696788798697,0.0105395698235475,0.0152123390053388,0.0190759728965274,10.9381170071521,0.09588,0.90412,2.59876,1.15704
4,0.45,1,0.985,0.275,0,7,16,1,1,4,0.15,0.3,0.3,0.3,0.45,0.04076,0.41124,0.41748,0.41328,0.83644,0.04076,1,0.56048,0.26408,0.26388,0.26412,0.0976,14.42468,19.05084,19.074,19.03956,21.52252,11,21,21,21,23,4,4,4,4,4,42,49,48,44,45,93.1116,0.190067265657949,0.285521237431089,0.286285156900351,0.285908975428535,0.395848704360733,0.114409414231138,0.264123534149594,0.265298726637044,0.264941076711652,0.4323065775718,0.603482208807013,0.839048020562412,0.840172699542248,0.839565156265793,0.955823706698357,0.040067265657948,-0.0144787625689112,-0.0137148430996496,-0.0140910245714664,-0.0541512956392671,0.00673072512293986,0.00959433880778435,0.00950982599668158,0.00955686058878792,0.0157236871205544,11.3296356351817,0.04812,0.95188,3.50172,1.43064
4,0.45,1,0.985,0.275,0,7,16,1,1,3,0.15,0.15,0.3,0.3,0.3,0.02388,0.0236,0.3338,0.3344,0.32928,0.04456,1.06552962298025,0.65788,0.65612,0.35008,0.34992,0.35072,12.84156,12.8872,17.64348,17.69508,17.67848,9,9,20,20,20,4,4,4,4,4,39,40,42,44,42,78.7458,0.175589639300234,0.175561547977686,0.262377414258316,0.263014730456603,0.261799753263425,0.115369708641653,0.115710526100992,0.25909486575006,0.260211766092086,0.258247424558191,0.566642764528848,0.566726208104639,0.803566003547459,0.804783883221843,0.803651577491159,0.025589639300234,0.0255615479776859,-0.0376225857416843,-0.0369852695433981,-0.0382002467365749,0.00505407253220156,0.00502537135894284,0.0105380526303295,0.0105807778331585,0.010350217244131,10.7376953159852,0.12224,0.87776,2.61044,1.59032
4,0.45,1,0.985,0.275,0,7,16,1,0.5,0,0.15,0.15,0.15,0.15,0.15,0.00728,0.00636,0.00652,0.0074,0.006,0.03092,1.08538163001294,0.80304,0.80644,0.8044,0.80756,0.80532,10.53176,10.48716,10.53452,10.47536,10.49168,8,8,8,8,8,4,4,4,4,4,40,43,38,43,41,52.52048,0.148801556837808,0.14856241621467,0.148979150872636,0.149493612504794,0.148689704151504,0.122498857193893,0.122257533555818,0.122869671093495,0.123719894548406,0.122248180517725,0.453961175722215,0.452906303540847,0.45424865431162,0.455653364510156,0.453124133225802,-0.00119844316219208,-0.00143758378533062,-0.00102084912736369,-0.000506387495206645,-0.00131029584849583,0.00369725770725137,0.00368348534513429,0.00371216337480582,0.00375929389327244,0.00365781756412132,7.79949757292749,0.48844,0.51156,0.96828,0.93968
